event_name,subevent_name,event_code,description,flags
cycles_allmodes,-,-,-,type=fixed;pmc=0
cycles,-,0x11,-,-
instr,-,0x8,-,-
instr_arch_executed,-,0x8,-,-
l2_cache_accesses,-,0x16,-,-
l2_cache_refills,-,0x17,-,-
l2_cache_writebacks,-,0x18,-,-
l1_data_refills,-,0x03,-,-
l1_data_accesses,-,0x04,-,-
llc_accesses,-,0x16,-,-
llc_misses,-,0x17,-,-
data_read_retired,-,0x06,-,-
data_write_retired,-,0x07,-,-
l1_instr_refills,-,0x1,-,-
itlb_misses,-,0x2,-,-
dtlb_misses,-,0x5,-,-
mispred_branches,-,0x10,-,-
inmediate_branches_retired,-,0x0d,-,-
potentially_predicted_branches,-,0x12,-,-
bus_accesses,-,0x19,-,-
data_mem_access,-,0x13,-,-
instr_cache_access,-,0x14,-,-
data_cache_eviction,-,0x15,-,-
