event_name,subevent_name,event_code,description,flags
instr_retired,-,0xc0,-,-
uops_retired,-,0xc1,-,-
unhalted_core_cycles,-,0x76,-,-
instr,-,0xc0,-,-
cycles,-,0x76,-,-
instr_retired,-,0xc0,-,-
branch_instr_retired,-,0xc2,-,-
branch_misses_retired,-,0xc3,-,-
cache_misses,-,0x64,-,-,umask=0x09
cache_accesses,-,0x60,-,umask=0xff
stalled_cycles_frontend,-,0x87,-,umask=0x02
stalled_cycles_backend,-,0x87,-,umask=0x01
l2_cache_accesses,dc_misses,0x60,-,umask=0xc8
l2_cache_misses,dc_misses,0x64,-,umask=0xc8
l2_pf_miss_l2_hit_l3,-,0x71,-,umask=0xff
l2_pf_miss_l2_l3,-,0x72,-,umask=0xff
l3_misses_core0,-,0x030f000000000106,-,pmu=9;systemwide
l3_misses_core1,-,0x0c0f000000000106,-,pmu=9;systemwide
l3_misses_core2,-,0x300f000000000106,-,pmu=9;systemwide
l3_misses_core3,-,0xc00f000000000106,-,pmu=9;systemwide=1
l3_accesses_core0,-,0x030f000000008001,-,pmu=9;systemwide
l3_accesses_core1,-,0x0c0f000000008001,-,pmu=9;systemwide
l3_accesses_core2,-,0x300f000000008001,-,pmu=9;systemwide
l3_accesses_core3,-,0xc00f000000008001,-,pmu=9;systemwide
